# S7 re-run inputs for run_f7997c1a240cc238 (jhy/jsoup). Regenerated from git; no claims, all re-derivable.
# buildHandle is deterministic = f(worktree dir, baseImage) and reproduces across restarts.
# recipe: maven:3.9.9-eclipse-temurin-17 | build "mvn -B -q compile" | NO flags
fix	parent	expectedBuildHandle	oldSideChangedRanges
84ca201d9f9ef4bc7ff281a38613a7bef9090984	598a895abe717a18d9f8b2df27d8c19799e7ae64	build_58aa4b07d486600c	src/main/java/org/jsoup/helper/W3CDom.java:12-12;src/main/java/org/jsoup/helper/W3CDom.java:205-205;src/main/java/org/jsoup/helper/W3CDom.java:208-216;src/main/java/org/jsoup/helper/W3CDom.java:259-261;src/main/java/org/jsoup/helper/W3CDom.java:405-405;src/main/java/org/jsoup/helper/W3CDom.java:436-436;
1fb2c97f34add3bab499bc603848d9c183df37ef	3475afc43aae34001dc45f1697dcf3d389ebb9c4	build_5160088e81ec1f1a	src/main/java/org/jsoup/helper/HttpConnection.java:1437-1437;
92f1aca552548b484bc7d4b94c51e48b8e6eca70	a682fd5bc8acdf841e5f858e8a19e3d2c92c4df8	build_d3aaa7f5c6f21591	src/main/java/org/jsoup/parser/TagSet.java:140-140;src/main/java/org/jsoup/parser/Token.java:302-302;src/main/java/org/jsoup/parser/Token.java:315-315;src/main/java/org/jsoup/parser/Token.java:390-390;
3475afc43aae34001dc45f1697dcf3d389ebb9c4	be8c37562cffa48c36a0f0bda93fc6502fb79b1f	build_bdfe2ee2e6db3574	src/main/java/org/jsoup/nodes/Attributes.java:122-123;src/main/java/org/jsoup/nodes/Attributes.java:125-125;
f10c02e12a15ca3d5acf17e732812172acd819ce	ccd90e9cfcc49d7bfba32d8be27c2d73f224fa22	build_c95f877546ea166d	src/main/java/org/jsoup/nodes/Entities.java:269-269;src/main/java/org/jsoup/nodes/Entities.java:273-273;src/main/java/org/jsoup/nodes/Entities.java:342-342;src/main/java/org/jsoup/nodes/Entities.java:346-346;src/main/java/org/jsoup/nodes/Entities.java:348-348;src/main/java/org/jsoup/nodes/Entities.java:350-350;
89d31b4c87b3270b11031f823a723e2eca0fbcbb	8b6d5bbd09f4645f7f13d9bbe73508091f3d8fee	build_b2fc81dfad8d0e4f	src/main/java/org/jsoup/helper/HttpConnection.java:120-120;src/main/java/org/jsoup/helper/HttpConnection.java:1456-1456;
b6fabf85043750c895294c0f72ee16279c593ddb	f727535bcae771a26daf9dff585a8bfd9f015668	build_96b4f38a0574f5f8	src/main/java/org/jsoup/select/NodeTraversor.java:12-14;src/main/java/org/jsoup/select/NodeTraversor.java:30-32;src/main/java/org/jsoup/select/NodeTraversor.java:34-34;src/main/java/org/jsoup/select/NodeTraversor.java:36-47;src/main/java/org/jsoup/select/NodeTraversor.java:49-56;src/main/java/org/jsoup/select/NodeTraversor.java:58-58;src/main/java/org/jsoup/select/NodeTraversor.java:60-60;src/main/java/org/jsoup/select/NodeTraversor.java:63-63;src/main/java/org/jsoup/select/NodeTraversor.java:66-77;src/main/java/org/jsoup/select/NodeVisitor.java:7-7;src/main/java/org/jsoup/select/NodeVisitor.java:12-13;src/main/java/org/jsoup/select/NodeVisitor.java:30-32;src/main/java/org/jsoup/select/NodeVisitor.java:42-44;
e87be9dbf2eb0f484f986ada3a8b6f38372c56b7	90673664ac4b1e56d8fc1709a95d9df7150bc355	build_26a17594d1582a5d	src/main/java/org/jsoup/nodes/Node.java:542-543;src/main/java/org/jsoup/nodes/Node.java:551-552;src/main/java/org/jsoup/nodes/Node.java:556-556;src/main/java/org/jsoup/nodes/Node.java:560-560;src/main/java/org/jsoup/nodes/Node.java:580-580;src/main/java/org/jsoup/nodes/Node.java:609-609;src/main/java/org/jsoup/nodes/Node.java:611-611;src/main/java/org/jsoup/nodes/Node.java:613-613;src/main/java/org/jsoup/nodes/Node.java:618-618;src/main/java/org/jsoup/nodes/Node.java:620-620;src/main/java/org/jsoup/nodes/Node.java:623-623;
5ee2e11a8f5b6f3c32b7edef246d5623223aa53e	209151fddc9ea1be665176a5dd142ab68260af48	build_b39139e28504b967	src/main/java/org/jsoup/helper/W3CDom.java:476-476;src/main/java/org/jsoup/helper/W3CDom.java:510-511;src/main/java/org/jsoup/helper/W3CDom.java:513-513;
fbdd177b33a043a97ff76c998ef103439d9debf8	fa9037d69a2e54d23567e43b4897c59f1c1358c7	build_91c0e454deb2e788	src/main/java/org/jsoup/parser/CharacterReader.java:14-14;src/main/java/org/jsoup/parser/CharacterReader.java:519-519;src/main/java/org/jsoup/parser/CharacterReader.java:521-521;src/main/java/org/jsoup/parser/CharacterReader.java:593-593;src/main/java/org/jsoup/parser/CharacterReader.java:601-604;src/main/java/org/jsoup/parser/CharacterReader.java:607-611;
b035b623d3d1d0c50d84056d2946ba1a90f7f665	ae8c6d21fb1b4588adf059a7d6c24333bbc7364d	build_720d72d403695e15	src/main/java/org/jsoup/internal/StringUtil.java:311-311;src/main/java/org/jsoup/internal/StringUtil.java:324-324;src/main/java/org/jsoup/internal/StringUtil.java:326-328;src/main/java/org/jsoup/internal/StringUtil.java:332-336;src/main/java/org/jsoup/safety/Safelist.java:555-555;src/main/java/org/jsoup/safety/Safelist.java:572-574;
49e58c202883648925db5bb2b7d3f3d010a518f8	b77e51bac1191faf328fa52ae29fcaf9d0456954	build_226d5a83310d09bd	src/main/java/org/jsoup/internal/SimpleBufferedInput.java:83-83;src/main/java/org/jsoup/internal/SimpleBufferedInput.java:119-120;src/main/java/org/jsoup/internal/SimpleStreamReader.java:46-46;
bd345ac50a19440c76956b6253fa61e24e084f71	f2ea9dfe8d99508ccf5ef082c35b9ad8f87eee37	build_4d1e2be6d55ec057	src/main/java/org/jsoup/parser/Parser.java:203-204;src/main/java/org/jsoup/parser/Parser.java:379-379;src/main/java/org/jsoup/parser/XmlTreeBuilder.java:103-107;src/main/java/org/jsoup/parser/XmlTreeBuilder.java:251-251;src/main/java/org/jsoup/parser/XmlTreeBuilder.java:255-258;src/main/java/org/jsoup/parser/XmlTreeBuilder.java:275-275;
38ea7f89179094432dcbabb873e7fff407f28c1a	862ba2f1d48ee95609183dbcfc848c9fd7afc76a	build_e0ef13afebc24062	src/main/java/org/jsoup/helper/Re2jRegex.java:22-22;src/main/java/org/jsoup/helper/Re2jRegex.java:48-48;
cad054a61f3ae241a741b6658c50d6f962dfd43c	46b620860af930eedc193a705eaf7cea5aec89a6	build_6b9d762cd7f4cbb1	src/main/java/org/jsoup/parser/HtmlTreeBuilderState.java:166-166;src/main/java/org/jsoup/parser/HtmlTreeBuilderState.java:1581-1581;
823709f519995492d9a092fe315af389616e58f8	e1b0df5fec53710214cd700de38d82e1ca92bd79	build_ea70a06c2dfe8d72	src/main/java/org/jsoup/helper/DataUtil.java:143-143;src/main/java/org/jsoup/helper/DataUtil.java:296-296;src/main/java/org/jsoup/helper/HttpConnection.java:1015-1016;src/main/java/org/jsoup/helper/HttpConnection.java:1020-1020;
9d2241ff467d03accbf902a650adc60513bf5c11	dd3556768b2b39353a6c3244aba917c3d2e29987	build_f4269754e78c7daf	src/main/java/org/jsoup/helper/HttpConnection.java:852-855;src/main/java/org/jsoup/helper/HttpConnection.java:965-966;src/main/java/org/jsoup/helper/HttpConnection.java:968-968;src/main/java/org/jsoup/helper/HttpConnection.java:972-972;
4e3811479fdf1cd3ce2c3a8fbc42ffa579b52763	a71fc858063290882267e6f3644d042ce8e19f0d	build_39020d4cf370000f	src/main/java/org/jsoup/helper/HttpConnection.java:72-72;src/main/java/org/jsoup/helper/HttpConnection.java:896-899;src/main/java/org/jsoup/helper/HttpConnection.java:902-902;src/main/java/org/jsoup/helper/HttpConnection.java:1241-1241;
7c32b7e105184ee2e2027b2dd25bec8dac85f934	e640ca8a72415e305227175c6289cca994502727	build_539cb3a7ab838298	src/main/java/org/jsoup/safety/Cleaner.java:218-218;
